time,alt,pos_x_est,pos_y_est,vel_x_cmd,vel_y_cmd,target_visible,setpoint_x,raw_x,filtered_x,cmd_y
15.863816022872925,1.3040000200271606,-90.02805359693562,-44.183932562375816,0.3390030214754258,-0.4348763321138555,1,320.0,226.0,229.97194640306438,-0.4348763321138555
15.873621702194214,1.3040000200271606,-89.82377057986687,-43.93142081648381,0.33886589915789633,-0.4348468242199109,1,320.0,226.0,230.17622942013313,-0.4348468242199109
15.883769273757935,1.2910000085830688,-89.61948756279813,-43.45786555705962,0.3388060586651843,-0.43431587592744236,1,320.0,226.0,230.38051243720187,-0.43431587592744236
15.893187046051025,1.2910000085830688,-89.86079026285213,-43.5197013629618,0.33934584214322955,-0.4352448113081828,1,320.0,226.0,230.13920973714787,-0.4352448113081828
15.903732776641846,1.2710000276565552,-89.65955793478965,-42.91917449054564,0.33932861815361626,-0.4344330971040468,1,320.0,226.0,230.34044206521037,-0.4344330971040468
15.914239645004272,1.2710000276565552,-89.45832560672716,-42.66881491556835,0.339199594136758,-0.4344121344619553,1,320.0,226.0,230.54167439327284,-0.4344121344619553
15.923864364624023,1.2590000629425049,-89.25709327866467,-42.20223783001775,0.33914781769921354,-0.4339234832105681,1,320.0,227.0,230.74290672133532,-0.4339234832105681
15.933262348175049,1.2590000629425049,-89.43616290480558,-42.23429886091357,0.33960240680782683,-0.43468761602558975,1,320.0,227.0,230.5638370951944,-0.43468761602558975
15.943826913833618,1.2390000820159912,-89.2375343431314,-41.61482236074629,0.3396044793042844,-0.43387910611273595,1,320.0,227.0,230.76246565686859,-0.43387910611273595
15.953589916229248,1.2390000820159912,-89.03890578145722,-41.36639640002683,0.3394829420935378,-0.43386587794804016,1,320.0,227.0,230.96109421854277,-0.43386587794804016
15.96304440498352,1.227000117301941,-88.84027721978303,-40.88866376010481,0.3394458437974398,-0.4333821555815013,1,320.0,227.0,231.15972278021695,-0.4333821555815013
15.973475456237793,1.227000117301941,-89.0638974187759,-40.99478613508332,0.3400256940824894,-0.4342037782447472,1,320.0,227.0,230.9361025812241,-0.4342037782447472
